,isExternalPostamat,id,wayInfoImagesCount,address,workTime,wayInfo,imageLocationPath,cityId,cityName,cityNameUfu,regionName,coordinates,sale,smId,fastestDatesByStore,deliveryPointType,bonus,legacyDstId,isWb,country
41,False,104916,3,г. Армавир (Армавирская обл) Саята Новы 23,Ежедневно 10:00-21:00,,Img104916,2376818,Армавир,armavir,,"40.153131,44.036152",0,6,{},0,0.0,6255649,True,Armenia
42,False,17186,3,"г. Гюмри (Ширакская область), улица Горького, д. 67",Ежедневно 10:00-21:00,,Img17186,2377207,Гюмри,gyumri,,"40.787234,43.849544",0,6,{},0,0.0,6097612,True,Armenia
43,False,18216,1,"г. Гавар (Гехаркуникская область), улица Бошнагян, д. 1",Ежедневно 10:00-21:00,,Img18216,2376915,Гавар,gavar,,"40.350123488,45.126586303",0,6,{},0,0.0,6254219,True,Armenia
44,False,17810,3,"г. Чаренцаван (Котайкская область), улица Кочара, д. 16",Ежедневно 10:00-21:00,,Img17810,2377144,Чаренцаван,charentsavan,,"40.405837105,44.645422974",0,6,{},0,0.0,6253554,True,Armenia
45,False,116862,3,"г Ереван, улица Мовсеса Хоренаци 3",Ежедневно 10:00-21:00,,Img116862,2376595,Ереван,erevan,,"40.179289,44.506285",0,6,{},0,0.0,6257921,True,Armenia
46,False,17811,3,"г. Ереван, квартал Ованнисян, д. 24/2",Ежедневно 10:00-21:00,,Img17811,2376595,Ереван,erevan,,"40.217126,44.580424",0,6,{},0,0.0,6253555,True,Armenia
47,False,109729,3,Агарак (Сюникская область) улица Гарегин Нжде 2/4,Ежедневно 10:00-21:00,,Img109729,2377335,Агарак,agarak,,"38.86534,46.196085",0,6,{},0,0.0,6256761,True,Armenia
48,False,17391,3,"г. Мартуни (Гехаркуникская область), Мясникяна улица, д. 69",Ежедневно 10:00-21:00,,Img17391,2376595,Ереван,erevan,,"40.138797218,45.30855304",0,6,{},0,0.0,6159924,True,Armenia
49,False,102241,3,"г. Вагаршапат (Армавирская область), улица Мовсес Хоренаци, д. 20",Ежедневно 10:00-21:00,,Img102241,2376819,Вагаршапат,vagarshapat,,"40.163686,44.290128",0,6,{},0,0.0,6253985,True,Armenia
50,False,107115,3,Спитак (Лорийская область) Сурена Аветисяна 11,Ежедневно 10:00-21:00,,Img107115,2377017,Спитак,spitak,,"40.829872,44.265953",0,6,{},0,0.0,6256093,True,Armenia
51,False,17327,3,"г. Ереван, улица Раффи, д. 39",Ежедневно 10:00-21:00,,Img17327,2376595,Ереван,erevan,,"40.173600098,44.444256443",0,6,{},0,0.0,6155449,True,Armenia
52,False,104922,3,г. Аштарак (Арагацотнская обл) Г. Нарекаци 100/2,Ежедневно 10:00-21:00,,Img104922,2376597,Аштарак,ashtarak,,"40.29186,44.353835",0,6,{},0,0.0,6255691,True,Armenia
53,False,102293,3,"г. Ереван, проспект Гая, д. 28/1",Ежедневно 10:00-21:00,,Img102293,2376595,Ереван,erevan,,"40.18684,44.563564",0,6,{},0,0.0,6253891,True,Armenia
54,False,102144,3,"г. Ереван, улица Сурб Григора Лусаворича, д. 3",Ежедневно 10:00-21:00,,Img102144,2376595,Ереван,erevan,,"40.172009,44.507461",0,6,{},0,0.0,6254443,True,Armenia
