,isExternalPostamat,id,wayInfoImagesCount,address,workTime,wayInfo,imageLocationPath,cityId,cityName,cityNameUfu,regionName,coordinates,sale,smId,fastestDatesByStore,deliveryPointType,bonus,legacyDstId,isWb,iconType,phones,country
22,False,110149,3,"с Ямкино (Московская обл), улица Центральная Усадьба 10А",Ежедневно 10:00-21:00,,Img110149,104408,Ямкино,yamkino,,"55.93296,38.388347",0,6,{},0,0,6257390,True,,,Russia
23,False,105605,3,"село Кушнаренково (Республика Башкортостан), улица Советская, д. 35Г ",Ежедневно 10:00-21:00,,Img105605,9448,Кушнаренково,kushnarenkovo,,"55.101666,55.351181",0,6,{},0,0,6255170,True,,,Russia
24,False,14779,3,"г. Саранск (Республика Мордовия), Московская улица, д. 17",Ежедневно 10:00-21:00,,Img14779,2921,Саранск,saransk,,"54.17402143,45.186026575",0,6,{},0,0,5249008,True,,,Russia
25,False,15603,3,"г. Набережные Челны (Республика Татарстан), улица Академика Рубаненко, д. 6",Ежедневно 10:00-21:00,,Img15603,2948,Набережные Челны,naberezhnye-chelny,,"55.743093451,52.42192178",0,6,{},0,0,5473465,True,,,Russia
26,False,100367,3,"г. Алексин (Тульская область), Дубравная улица, д. 36А",Ежедневно 10:00-21:00,,Img100367,5948,Алексин,aleksin,,"54.511126,37.122387",0,6,{},0,0,6253893,True,,,Russia
27,False,107504,3,г. Палласовка (Волгоградская обл) Остравская 26а,Ежедневно 10:00-21:00,,Img107504,4370,Палласовка,pallasovka,,"50.03996,46.885875",0,6,{},0,0,6255670,True,,,Russia
28,False,114616,3,"Зеленчукская (Карачаево-Черкесская Республика), улица Мира 84А",Ежедневно 10:00-21:00,,Img114616,15208,Зеленчукская,zelenchukskaya,,"43.858396,41.600567",0,6,{},0,0,6257792,True,,,Russia
29,False,113499,4,"г Москва, Вешняковская улица 39Д",Ежедневно 10:00-21:00,,Img113499,77,Москва,moskva,Москва,"55.717893,37.827439",0,6,{},0,0,6257831,True,,,Russia
30,False,15140,3,"г.Москва, м Жулебино, Жулебинский бульвар, д. 36к3",Ежедневно 10:00-21:00,,Img15140,77,Москва,moskva,Москва,"55.683833,37.849257",0,6,{},0,0,5376393,True,,,Russia
31,False,109983,3,"с Октябрьское (Челябинская область, Октябрьский район) улица Ленина 35",Ежедневно 10:00-21:00,,Img109983,180147,Октябрьское,oktyabrskoe,,"54.406416,62.727457",0,6,{},0,0,6256491,True,,,Russia
32,False,107807,3,"г Шахты (Россия, Ростовская обл) ул. Дачная 297а",Ежедневно 10:00-21:00,,Img107807,5730,Шахты,shahty,,"47.710407,40.14739",0,6,{},0,0,6256180,True,,,Russia
33,False,105757,3,"село Успенское (Краснодарский край), улица Дугинец, д. 60",Ежедневно 10:00-21:00,,Img105757,35948,Успенское,uspenskoe,,"44.833046,41.396867",0,6,{},0,0,6255138,True,,,Russia
34,False,113464,3,"г Пущино (Московская область), мкр. АБ 21",Ежедневно 10:00-21:00,,Img113464,5431,Пущино,pushchino,,"54.837284,37.608221",0,6,{},0,0,6257874,True,,,Russia
35,False,108180,3,г Москва Россия Бульвар Генерала Карбышева 13А,Ежедневно 10:00-21:00,,Img108180,77,Москва,moskva,Москва,"55.781226,37.468921",0,6,{},0,0,6256540,True,,,Russia
36,False,18023,3,"г. Москва, улица Расковой, д. 30",Ежедневно 10:00-21:00,,Img18023,77,Москва,moskva,Москва,"55.789577748,37.575595016",0,6,{},0,0,6253779,True,,,Russia
37,False,18204,3,"г. Челябинск (Челябинская область), улица Сталеваров, д. 58",Ежедневно 10:00-21:00,,Img18204,5978,Челябинск,chelyabinsk,,"55.253604,61.402815",0,6,{},0,0,6254184,True,,,Russia
38,False,111889,3,Москва Федеративный проспект 39,Ежедневно 10:00-21:00,,Img111889,77,Москва,moskva,Москва,"55.753696,37.826283",0,6,{},0,0,6257021,True,,,Russia
39,False,17001,3,"г. Озерск (Челябинская область), бульвар Гайдара, д. 12",Ежедневно 10:00-21:00,,Img17001,5986,Озерск,ozersk,,"55.751061513,60.684044584",0,6,{},0,0,6055475,True,,,Russia
40,False,115716,3,г Санкт-Петербург Вилеровский переулок 6,Ежедневно 10:00-21:00,,Img115716,78,Санкт-Петербург,sankt-peterburg,Санкт-Петербург,"59.811391,30.364126",0,6,{},0,0,6257924,True,,,Russia
41,False,107416,3,г Москва (Россия) Зарайская 37А,Ежедневно 10:00-21:00,,Img107416,77,Москва,moskva,Москва,"55.730083,37.772025",0,6,{},0,0,6256010,True,,,Russia
42,False,17350,3,"г. Сочи (Краснодарский край), улица Островского, д. 67",Ежедневно 10:00-21:00,,Img17350,3337,Сочи,sochi,,"43.590905,39.724715",0,6,{},0,0,6157698,True,,,Russia
43,False,16993,2,"г. Чита (Забайкальский край), улица Бабушкина, д. 30",Ежедневно 10:00-21:00,,Img16993,6009,Чита,chita,,"52.030003126,113.525329577",0,6,{},0,0,6054660,True,,,Russia
