,isExternalPostamat,id,wayInfoImagesCount,address,workTime,wayInfo,imageLocationPath,cityId,cityName,cityNameUfu,regionName,coordinates,sale,smId,fastestDatesByStore,deliveryPointType,bonus,legacyDstId,isWb,country
315,False,109886,3,"г Орша (Витебская область), улица Могилёвская 104",Ежедневно 10:00-21:00,,Img109886,1985429,Орша,orsha,,"54.489812,30.438541",0,6,{},0,0.0,6256995,True,Belarus
316,False,111902,3,Минск Минск Улица Скрипникова 15,Ежедневно 10:00-21:00,,Img111902,1983668,Минск,minsk,Минск и Минская обл.,"53.89137,27.420003",0,6,{},0,0.0,6257294,True,Belarus
317,False,114600,3,"г Молодечно (Минская область), Галицкого 14",Ежедневно 10:00-21:00,,Img114600,1985344,Молодечно,molodechno,,"54.309216,26.825431",0,6,{},0,0.0,6257614,True,Belarus
318,False,890,3,"г. Слуцк (Минская область), улица Ленина, д. 98Б",Ежедневно 10:00-21:00,"Проходящий транспорт - автобусы : № 4, 6, 12, 16, 18. Выходите на остановке - Магазин ""Строитель"", если ехать со стороны центра, переходите дорогу, напротив Вас будет магазин ""Ами-мебель"", справа от него, в здании между магазинами ""Сантехника"" и ""Армтек"" находится наш ПВЗ.
",sluck,1985348,Слуцк,slutsk,,"53.016491431,27.533685717",0,6,{},0,0.0,4471374,True,Belarus
319,False,114542,3,"Мядель (Минская обл), Крупской 19",Ежедневно 10:00-21:00,,Img114542,1985346,Мядель,myadel,,"54.872151,26.932342",0,6,{},0,0.0,6257717,True,Belarus
320,False,115438,3,г Барановичи (Брестская область) улица Кирова 69,Ежедневно 10:00-21:00,,Img115438,1985372,Барановичи,baranovichi,,"53.144155,26.041948",0,6,{},0,0.0,6257751,True,Belarus
321,False,18136,3,"г.Гродно (Гродненская область), улица Суворова, д. 312",Ежедневно 10:00-21:00,,Img18136,1983667,Гродно,grodno,,"53.646658411,23.780121678",0,6,{},0,0.0,6254055,True,Belarus
322,False,16225,3,"г. Минск, улица Уборевича, д. 95А",Ежедневно 10:00-21:00,,Img16225,1983668,Минск,minsk,Минск и Минская обл.,"53.833851344,27.617079304",0,6,{},0,0.0,5644213,True,Belarus
323,False,110223,3,г Брест (Брестская область) улица Брестских Дивизий 18,Ежедневно 10:00-21:00,,Img110223,1983664,Брест,brest,,"52.102881,23.672939",0,6,{},0,0.0,6256498,True,Belarus
324,False,12418,3,"г. Осиповичи (Могилёвская область), улица Сумченко, д. 25б",Ежедневно 10:00-21:00,"Автобусная остановка Площадь Ленина, через дорогу за магазинами ""Мегатоп"" и ""Марко"", бывший магазин ""Пара"" .",Img12418,1985367,Осиповичи,osipovichi,,"53.307789,28.636719",0,6,{},0,0.0,4471822,True,Belarus
325,False,111070,3,"г Пинск (Брестская обл.), ул Первомайская, д 90",Ежедневно 10:00-21:00,,Img111070,1985385,Пинск,pinsk,,"52.124579,26.100274",0,6,{},0,0.0,6256596,True,Belarus
326,False,17616,3,"г. Лельчицы (Гомельская область), улица Меньшикова, д. 67А",Ежедневно 10:00-21:00,,Img17616,2294756,Лельчицы,lelchitsy,,"51.784956329,28.312134011",0,6,{},0,0.0,6230180,True,Belarus
327,False,17487,3,"г. Островец (Гродненская область), Ленинская улица, д. 46",Ежедневно 10:00-21:00,,Img17487,2295020,Островец,ostrovets,,"54.613871389,25.950990712",0,6,{},0,0.0,6194483,True,Belarus
328,False,1175,3,"г. Борисов (Минская обл.), ул. 50 лет БССР, д. 17а",Ежедневно 10:00-21:00,"Проезд на автобусах: №11, 9, 10, 3 до остановки ""Политехникум"", далее двигаться в сторону гастронома ""Восьмёрочка"". Пункт самовывоза находится на цокольном этаже в ТЦ напротив Борисовского политехникума. Ориентир: магазин ""Остров чистоты"".",Img1175,1985332,Борисов,borisov,,"54.214526911,28.483826716",0,6,{},0,0.0,4471436,True,Belarus
329,False,15602,3,"г. Брест (Брестская область), улица Суворова, д. 63",Ежедневно 10:00-21:00,,Img15602,1983664,Брест,brest,,"52.070497258,23.754261202",0,6,{},0,0.0,5472621,True,Belarus
