,city_name,fl,fon,house_number,latitude,longitude,m,od,oid,on,pb2b,pb2c,pla,pr,r12c,rid,sb2b,sb2c,street_name,svc,tc,tt
0,г. Аткарск,-,г. Аткарск ул. Советская 62 -,62,51.8706,44.997,,2015-09-01 00:00:00,2023915,"Аткарск, ул. Советская 62",,88001000800,False,1,523501,64,False,True,ул. Советская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '16:00', 'ws': '08:00'}]"
1,г. Энгельс,-,г. Энгельс ул. Волоха 9 -,9,51.4914,46.1177,,2015-09-01 00:00:00,2023919,"Энгельс, ул. Волоха 9",,88001000800,False,2,523512,64,False,True,ул. Волоха,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '17:00', 'ws': '10:00'}]"
2,г. Орск,-,г. Орск ул. Ленина 23 -,23,51.22789,58.47549,,2015-09-01 00:00:00,2023920,"Орск, ул. Ленина 23",,88001000800,False,2,523211,56,False,True,ул. Ленина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}]"
3,г. Саранск,-,г. Саранск ул. Большевистская 11 -,11,54.182306,45.182243,,2015-09-01 00:00:00,2023928,"Саранск, ул. Большевистская 11",,88001000800,False,2,523552,13,False,True,ул. Большевистская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '17:00', 'ws': '09:00'}]"
4,с. Сакмара,-,с. Сакмара ул. Советская 23 -,23,51.9848,55.3329,,2015-09-01 00:00:00,2023939,"Сакмара, ул. Советская 23",,88001000800,False,1,523213,56,False,True,ул. Советская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '17:00', 'ws': '09:00'}]"
5,г. Соль-Илецк,-,г. Соль-Илецк ул. Цвиллинга 66 -,66,51.1582,54.9802,,2015-09-01 00:00:00,2023940,"Соль-Илецк, ул. Цвиллинга 66",,88001000800,False,1,523215,56,False,True,ул. Цвиллинга,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': '2020-06-07 21:00:00', 'ds': '2020-05-25 22:00:00', 'rc': 'Указ региональных властей'}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}]"
6,п. Тюльган,-,п. Тюльган ул. Максима Горького 27 -,27,52.3409,56.1604,,2015-09-01 00:00:00,2023941,"Тюльган, ул. Максима Горького 27",,88001000800,False,1,523221,56,False,True,ул. Максима Горького,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '17:00', 'ws': '09:00'}]"
7,пгт. Сернур,-,пгт. Сернур ул. Коммунистическая 83 -,83,56.9337,49.1465,,2015-09-01 00:00:00,2023951,"Сернур, ул. Коммунистическая 83",,88001000800,False,1,523663,12,False,True,ул. Коммунистическая,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '08:00'}]"
8,г. Звенигово,-,г. Звенигово ул. Пушкина 53 -,53,55.9695,48.0199,,2015-09-01 00:00:00,2023953,"Звенигово, ул. Пушкина 53",,88001000800,False,1,523655,12,False,True,ул. Пушкина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': '13:00', 'bs': '12:00', 'dn': 1, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 2, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 3, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 4, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 5, 'we': '17:00', 'ws': '08:00'}]"
9,г. Кузнецк,-,г. Кузнецк ул. Ленина 247 -,247,53.1168,46.6093,,2015-09-01 00:00:00,2023958,"Кузнецк, ул. Ленина 247",,88001000800,False,1,523304,58,False,True,ул. Ленина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '08:00'}]"
10,с. Октябрьское,-,с. Октябрьское ул. Калинина 3 -,3,52.352645,55.496608,,2015-09-01 00:00:00,2023966,"Октябрьское, ул. Калинина 3",,88001000800,False,1,523218,56,False,True,ул. Калинина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '17:00', 'ws': '09:00'}]"
11,г. Нижний Новгород,-,г. Нижний Новгород ул. Большая Покровская 56 -,56,56.3157,43.9923,,2015-09-01 00:00:00,2023978,"Нижний Новгород, ул. Большая Покровская 56",,88001000800,False,2,523114,52,False,True,ул. Большая Покровская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '16:00', 'ws': '10:00'}, {'be': None, 'bs': None, 'dn': 7, 'we': '16:00', 'ws': '10:00'}]"
12,п. Переволоцкий,-,п. Переволоцкий ул. Пролетарская 76 -,76,51.8764,54.1896,,2015-09-01 00:00:00,2023979,"Переволоцкий, ул. Пролетарская 76",,88001000800,False,1,523212,56,False,True,ул. Пролетарская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': '14:00', 'bs': '13:00', 'dn': 1, 'we': '17:00', 'ws': '09:00'}, {'be': '14:00', 'bs': '13:00', 'dn': 2, 'we': '17:00', 'ws': '09:00'}, {'be': '14:00', 'bs': '13:00', 'dn': 3, 'we': '17:00', 'ws': '09:00'}, {'be': '14:00', 'bs': '13:00', 'dn': 4, 'we': '17:00', 'ws': '09:00'}, {'be': '14:00', 'bs': '13:00', 'dn': 5, 'we': '17:00', 'ws': '09:00'}]"
13,г. Балашов,-,г. Балашов ул. Карла Маркса 30 -,30,51.5485,43.1471,,2015-09-01 00:00:00,2023984,"Балашов, ул. Карла Маркса 30",,88001000800,False,1,523503,64,False,True,ул. Карла Маркса,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '16:00', 'ws': '10:00'}]"
14,г. Ульяновск,-,г. Ульяновск ул. Льва Толстого 95 -,95,54.3127,48.3933,,2015-09-01 00:00:00,2023987,"Ульяновск, ул. Льва Толстого 95",,88001000800,False,2,523855,73,False,True,ул. Льва Толстого,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '17:00', 'ws': '10:00'}]"
15,г. Чебоксары,-,г. Чебоксары ул. Гагарина Ю. 20 а -,20 а,56.1239,47.2601,,2015-09-01 00:00:00,2023991,"Чебоксары, ул. Гагарина Ю. 20 а",,88001000800,False,1,523807,21,False,True,ул. Гагарина Ю.,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '17:00', 'ws': '09:00'}]"
16,пгт. Новый Торъял,-,пгт. Новый Торъял ул. Юбилейная 15 -,15,57.0057,48.7288,,2015-09-01 00:00:00,2023994,"Новый Торъял, ул. Юбилейная 15",,88001000800,False,1,523660,12,False,True,ул. Юбилейная,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}]"
17,пгт. Советский,-,пгт. Советский ул. Котовского 6 -,6,56.759493,48.483652,,2015-09-01 00:00:00,2023995,"Советский, ул. Котовского 6",,88001000800,False,1,523654,12,False,True,ул. Котовского,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': '13:00', 'bs': '12:00', 'dn': 1, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 2, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 3, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 4, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 5, 'we': '17:00', 'ws': '08:00'}]"
18,г. Волжск,-,г. Волжск ул. Ленина 22 -,22,55.8682,48.3578,,2015-09-01 00:00:00,2023996,"Волжск, ул. Ленина 22",,88001000800,False,1,523651,12,False,True,ул. Ленина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}]"
19,г. Новотроицк,-,г. Новотроицк пр-кт Комсомольский 6 -,6,51.1896,58.2888,,2015-09-01 00:00:00,2024000,"Новотроицк, пр-кт Комсомольский 6",,88001000800,False,1,523209,56,False,True,пр-кт Комсомольский,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}]"
20,г. Сорочинск,-,г. Сорочинск ул. Карла Маркса 21 -,21,52.4328,53.1573,,2015-09-01 00:00:00,2024001,"Сорочинск, ул. Карла Маркса 21",,88001000800,False,1,523216,56,False,True,ул. Карла Маркса,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}]"
21,г. Каменка,-,г. Каменка ул. Центральная 4 -,4,53.1851,43.9968,,2015-09-01 00:00:00,2024003,"Каменка, ул. Центральная 4",,88001000800,False,1,523303,58,False,True,ул. Центральная,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}]"
22,г. Козьмодемьянск,-,г. Козьмодемьянск ул. Юбилейная 9 -,9,56.3365,46.5446,,2015-09-01 00:00:00,2024008,"Козьмодемьянск, ул. Юбилейная 9",,88001000800,False,1,523657,12,False,True,ул. Юбилейная,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '17:00', 'ws': '08:00'}]"
