,city_name,fl,fon,house_number,latitude,longitude,m,od,oid,on,pb2b,pb2c,pla,pr,r12c,rid,sb2b,sb2c,street_name,svc,tc,tt
176,ст-ца Кущевская,-,ст-ца Кущевская ул. Ленина 15 -,15,46.558586,39.616215,,2015-07-01 00:00:00,2024539,"Кущёвская, ул. Ленина 15",,88001000800,False,1,524645,23,False,True,ул. Ленина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': '2020-05-10 23:00:00', 'ds': '2020-05-08 00:00:00', 'rc': 'проведение дезинфекции помещения'}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '18:00', 'ws': '08:00'}]"
177,ст-ца Павловская,-,ст-ца Павловская ул. Горького 294 -,294,46.135043,39.785807,,2015-07-01 00:00:00,2024540,"Павловская, ул. Горького 294",,88001000800,False,1,524627,23,False,True,ул. Горького,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '17:00', 'ws': '08:00'}]"
178,г. Усть-Лабинск,-,г. Усть-Лабинск ул. Советская 49 -,49,45.2060056,39.6891581,,2015-07-01 00:00:00,2024542,"Усть-Лабинск, ул. Советская 49",,88001000800,False,1,524654,23,False,True,ул. Советская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '08:00'}]"
179,ст-ца Тбилисская,-,ст-ца Тбилисская ул. Первомайская 24 -,24,45.35884,40.19715,,2015-07-01 00:00:00,2024543,"Тбилисская, ул. Первомайская 24",,88001000800,False,1,524632,23,False,True,ул. Первомайская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 7, 'we': '17:00', 'ws': '08:00'}]"
180,с. Белая Глина,-,с. Белая Глина ул. Красная 119 -,119,46.0757098,40.8753181,,2015-07-01 00:00:00,2024544,"Белая Глина, ул. Красная 119",,88001000800,False,1,524620,23,False,True,ул. Красная,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '16:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '16:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '16:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '16:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '16:00', 'ws': '08:00'}]"
181,г. Тихорецк,-,г. Тихорецк ул. Октябрьская 24 а -,24 а,45.853542,40.1247768,,2015-07-01 00:00:00,2024545,"Тихорецк, ул. Октябрьская 24 а",,88001000800,False,1,524622,23,False,True,ул. Октябрьская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '19:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 7, 'we': '19:00', 'ws': '08:00'}]"
182,ст-ца Новопокровская,-,ст-ца Новопокровская ул. Ленина 87 -,87,45.953136,40.707703,,2015-07-01 00:00:00,2024546,"Новопокровская, ул. Ленина 87",,88001000800,False,1,524621,23,False,True,ул. Ленина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': '2020-06-08 23:00:00', 'ds': '2020-06-08 00:00:00', 'rc': 'отпуск РЦПО'}","[{'be': '12:45', 'bs': '12:00', 'dn': 1, 'we': '16:00', 'ws': '08:00'}, {'be': '12:45', 'bs': '12:00', 'dn': 2, 'we': '16:00', 'ws': '08:00'}, {'be': '12:45', 'bs': '12:00', 'dn': 3, 'we': '16:00', 'ws': '08:00'}, {'be': '12:45', 'bs': '12:00', 'dn': 4, 'we': '16:00', 'ws': '08:00'}, {'be': '12:45', 'bs': '12:00', 'dn': 5, 'we': '16:00', 'ws': '08:00'}]"
183,г. Кореновск,-,г. Кореновск ул. Карла Маркса 209 а -,209 а,45.47006,39.451228,,2015-07-01 00:00:00,2024548,"Кореновск, ул. Карла Маркса 209 а",,88001000800,False,1,524653,23,False,True,ул. Карла Маркса,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '08:00'}]"
184,ст-ца Ленинградская,-,ст-ца Ленинградская ул. Ленина 33 б -,33 б,46.322818,39.391185,,2015-07-01 00:00:00,2024549,"Ленинградская, ул. Ленина 33 б",,88001000800,False,1,524646,23,False,True,ул. Ленина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '08:00'}]"
185,г. Беслан,-,г. Беслан ул. Генерала Плиева 19 -,19,43.188484,44.53805,,2015-07-01 00:00:00,2024552,"Беслан, ул. Генерала Плиева 19",,88001000800,False,1,524802,15,False,True,ул. Генерала Плиева,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '08:00'}]"
